Hospital Address,Hospital City,Hospital State,Won/Lost/Exisiting,Hospital Type,Total Births,Exclusive BF%,Exclusive FF%,Exclusive Supplement,Net Preterm
"16TH MEDLOG BATTALION WT4J8S, 4551 EAST PHILADELPHIA STREET, ONTARIO, CA, 91761",ONTARIO,CA,Existing,UNKNOWN,0,,,,0
"79TH MEDICAL GROUP, 1057 WEST PERIMETER RD, ANDREWS AFB, MD, 20762",ANDREWS AFB,MD,Existing,UNKNOWN,0,,,,0
"ABRAHAM LINCOLN MEM HOSP, 200 STAHLHUT DRIVE, LINCOLN, IL, 62656",LINCOLN,IL,Lost,UNKNOWN,0,65.0%,45.0%,-10.0%,0
"ABRAZO MARYVALE CAMPUS, 5102 WEST CAMPBELL AVENUE, PHOENIX, AZ, 85031",PHOENIX,AZ,Existing,UNKNOWN,0,0.0%,,,0
"ADENA GREENFIELD MEDICAL CENTER, 550 MIRABEAU ST, GREENFIELD, OH, 45123",GREENFIELD,OH,Existing,UNKNOWN,0,,,,0
"ADENA PIKE MEDICAL CENTER, 100 DAWN LN, WAVERLY, OH, 45690",WAVERLY,OH,Existing,UNKNOWN,0,,,,0
"ADVENTHEALTH CARROLLWOOD, 7171 N DALE MABRY HWY, TAMPA, FL, 33614",TAMPA,FL,Existing,UNKNOWN,0,,,,0
"ADVENTHEALTH DADE CITY, 13100 FORT KING ROAD, DADE CITY, FL, 33525",DADE CITY,FL,Existing,UNKNOWN,0,0.0%,,,0
"ADVENTHEALTH KISSIMMEE, 2450 N ORANGE BLOSSOM TRL, KISSIMMEE, FL, 34744",KISSIMMEE,FL,Existing,UNKNOWN,0,,,,0
"ADVENTHEALTH PALM COAST, 60 MEMORIAL MEDICAL PARKWAY, PALM COAST, FL, 32164",PALM COAST,FL,Existing,UNKNOWN,0,,,,0
"ADVENTHEALTH PORTER HOSPITAL, 2525 S DOWNING, DENVER, CO, 80210",DENVER,CO,Existing,UNKNOWN,0,0.0%,,,0
"ADVENTHEALTH WINTER GARDEN, 2000 FOWLER GROVE BLVD, WINTER GARDEN, FL, 34787",WINTER GARDEN,FL,Existing,UNKNOWN,0,,,,0
"ADVENTIST GLENOAKS HOSPITAL, 701 WINTHROP AVENUE, GLENDALE HEIGHTS, IL, 60139",GLENDALE HEIGHTS,IL,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"ADVENTIST HEALTH NAPA VALLEY, 10 WOODLAND ROAD, SAINT HELENA, CA, 94574",SAINT HELENA,CA,Existing,UNKNOWN,0,0.0%,0.0%,100.0%,0
"ADVENTIST HEALTH SIMI VALLEY, 2975 NORTH SYCAMORE DRIVE, SIMI VALLEY, CA, 93065",SIMI VALLEY,CA,Lost,UNKNOWN,0,0.0%,0.0%,100.0%,0
