Hospital Name,City,State,Current Contract Holder,Contract Expiry Date,Net Total Births,Month
ADVOCATE TRINITY HOSP,CHICAGO,IL,Abbott Exclusive,2024-12-21,671,2024-12
BON SECOURS MEMORIAL REG MED CTR,MECHANICSVILLE,VA,Abbott Exclusive,2024-12-28,1170,2024-12
GRANT REGIONAL HEALTH CENTER,LANCASTER,WI,Abbott Exclusive,2024-12-30,127,2024-12
REEDSBURG AREA MEDICAL CENTER,REEDSBURG,WI,Abbott Exclusive,2024-12-31,178,2024-12
BAPTIST ANDERSON REGIONAL MED CTR,MERIDIAN,MS,Abbott Exclusive,2024-12-31,1956,2024-12
BON SECOURS ST MARYS HOSPITAL,RICHMOND,VA,Abbott Exclusive,2024-12-31,2052,2024-12
BON SECOURS ST FRANCIS MED CTR,MIDLOTHIAN,VA,Abbott Exclusive,2024-12-31,2302,2024-12
MILFORD REGIONAL MEDICAL CENTER,MILFORD,MA,MJN Exclusive,2024-12-31,1107,2024-12
CROSSING RIVERS HEALTH,PRAIRIE DU CHIEN,WI,Abbott Exclusive,2024-12-31,130,2024-12
UPLAND HILLS HLTH INC,DODGEVILLE,WI,Abbott Exclusive,2024-12-31,243,2024-12
BAYHEALTH AT MILFORD MEMORIAL HOSP,MILFORD,DE,Abbott Exclusive,2024-12-31,400,2024-12
CEDARS-SINAI MED CTR,LOS ANGELES,CA,MJN Exclusive,2024-12-31,6921,2024-12
SAUK PRAIRIE HOSPITAL,PRAIRIE DU SAC,WI,Abbott Exclusive,2024-12-31,398,2024-12
VERNON MEMORIAL HEALTHCARE,VIROQUA,WI,Abbott Exclusive,2024-12-31,129,2024-12
OCHSNER RUSH FOUNDATION HOSP,MERIDIAN,MS,MJN Exclusive,2025-01-12,1104,2025-01
BRYAN HOSPITAL,BRYAN,OH,Abbott Exclusive,2025-01-26,330,2025-01
TEXAS HEALTH ROCKWALL,ROCKWALL,TX,Abbott Exclusive,2025-01-30,366,2025-01
BROOKS MEMORIAL HOSPITAL,DUNKIRK,NY,MJN Exclusive,2025-01-31,0,2025-01
BRONX-LEBANON HOSPITAL CENTER,BRONX,NY,Abbott Exclusive,2025-01-31,1740,2025-01
BEVERLY COMM HOSP,MONTEBELLO,CA,MJN Exclusive,2025-01-31,1160,2025-01
UNM HOSPITAL,ALBUQUERQUE,NM,Abbott Exclusive,2025-01-31,2450,2025-01
MONTEFIORE MEDICAL CENTER WAKEFIELD,BRONX,NY,Abbott Exclusive,2025-01-31,1484,2025-01
TIFT REGIONAL MEDICAL CENTER,TIFTON,GA,MJN Exclusive,2025-01-31,1671,2025-01
ESSENTIA HEALTH VIRGINIA,VIRGINIA,MN,Abbott Exclusive,2025-01-31,225,2025-01
ESSENTIA HEALTH ST MARYS MED CTR,DULUTH,MN,Abbott Exclusive,2025-01-31,1504,2025-01
ESSENTIA HEALTH ST MARYS,DETROIT LAKES,MN,Abbott Exclusive,2025-01-31,486,2025-01
ESSENTIA HEALTH ST JOSEPHS MED CTR,BRAINERD,MN,Abbott Exclusive,2025-01-31,400,2025-01
ESSENTIA HEALTH MOOSE LAKE,MOOSE LAKE,MN,Abbott Exclusive,2025-01-31,89,2025-01
JACOBI MEDICAL CENTER,BRONX,NY,Abbott Exclusive,2025-01-31,1850,2025-01
ESSENTIA HEALTH,FARGO,ND,Abbott Exclusive,2025-01-31,1126,2025-01
DOOR COUNTY MEDICAL CENTER,STURGEON BAY,WI,Abbott Exclusive,2025-02-01,116,2025-02
DRISCOLL CHILDRENS HOSP,CORPUS CHRISTI,TX,MJN Exclusive,2025-02-20,761,2025-02
