,year_month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,date
0,2022/11,2931563.48,210537.76,3059333.56,849721.79,13737563.12,3416706.41,1026129.5173,264014.9469,119580.45,8781584.5173,6461950.1766,350099.3,517661.52,7588904.4,2039110.07,1273719.3499999999,733090.25,1606690.43,1291263.61,259730.2586,1780603.6521,1827454.4376,3851638.55,2107284.73,1766352.09,1638403.97,186765.27,628689.36,1754784.14,394981.0358,4395660.6536,983512.39,6067971.1908,2860210.2859,184964.14,6170916.7271,888730.99,767903.31,2871196.9326,38410.659999999996,268797.6369,1185338.89,169267.51,2054267.15,18582592.13,1144835.3699999999,54795.89,3484731.0414,3630517.3200000003,533296.52,1678646.78,132878.44,Nov 22
1,2022/12,3673812.19,228084.81,3537127.59,1001558.94,14523238.92,3675244.25,1072860.8982,304013.2476,117400.87,10189456.4135,7560702.2881,365411.11,583112.41,8230489.4399999995,2320481.02,1406506.17,943289.81,1909663.83,1869826.3,222029.7882,1773334.6162,1687528.7717,4143523.46,2437711.35,1952764.32,1983357.6,215025.65,805767.42,1930450.98,378114.4864,4386786.459,1080008.52,5639731.6475,3175944.0091,228703.46,6254755.8178,1108959.83,957119.66,3101563.7569999998,49760.39,237588.1576,1361343.23,213913.71,2495380.5,20714697.43,1339513.17,50638.96,3263843.0555,4034239.14,628963.47,2013655.8599999999,149736.76,Dec 22
2,2023/01,4265006.65,262206.36,3922847.9899999998,1062738.08,14223352.379999999,4618641.38,1142513.5772,322915.4599,126425.31,11279514.329599999,8756436.1393,402003.94,585405.81,9576084.44,2775318.98,1993584.18,917313.09,2203119.67,2086405.97,260755.2884,1993108.569,1859591.0479,4834815.82,2739251.01,2487120.05,2103462.0,202251.86000000002,859137.5599999999,2357760.69,432256.5894,5198305.3185,1273267.96,6834209.1589,3736747.14,211200.58,8692108.487399999,1137176.9,973663.5900000001,3767703.5995,61807.65,267886.9796,1497051.74,202179.86,2840368.76,28428919.97,1499827.5899999999,63601.92,3810886.4389,3968679.3700000006,744829.85,2137530.17,172482.77,Jan 23
3,2023/02,3222285.16,209950.38999999998,3048900.61,805967.12,12172322.99,3667824.4899999998,910208.0999,249682.48,100489.14,9882248.98,7223488.74,310634.18,460239.16,7466710.72,2129916.58,1276364.26,708855.53,1644801.97,1487503.88,233878.75950000001,1487882.6196,1440446.1599,3604145.63,2120884.52,2026066.95,1417215.35,158414.19,595033.16,1764734.47,335623.73,3978234.9094000002,1019171.4099999999,5297600.0593,2835670.93,171481.43,6893576.8388,820123.87,754609.4400000001,2854375.91,42329.1,202407.16,1110817.17,155329.55,2191086.05,20283652.88,1163876.8,45526.85,3014940.7199999997,2919141.48,555952.85,1541644.65,131642.06,Feb 23
4,2023/03,4587217.46,210913.13,2919359.73,927156.6799999999,11774022.26,3932599.94,907651.9697,264390.6899,108441.79999999999,12758529.0555,9048273.0896,298800.01,436307.1,8626535.07,2274704.6,1684593.55,681620.12,1604651.06,1573056.06,239408.0199,1810846.9493,1734779.7,3285194.2399999998,2679704.4,2764483.52,1538206.97,164143.5,540586.42,1674830.1099999999,406966.219,5004148.3498,1019133.33,7248092.249,3307717.4285,191685.95,7920341.0893,925046.09,727354.93,2972509.32,72873.51,224259.41999999998,1328376.05,172996.37,2144833.08,21402377.99,1182895.78,50337.96,3069011.6996999998,2732450.8699999996,548775.21,1603784.8599999999,134921.59,Mar 23
5,2023/04,5737561.97,270461.83999999997,3645589.26,1221242.39,14153831.48,5066493.4,1155082.6687999999,329960.14,137970.03,16532884.9107,11681867.9496,393031.21,534148.2,10452842.18,2994858.01,2244747.15,839042.64,2107008.52,2326642.21,293525.9499,2198454.3589999997,2144996.8092,3896078.3,3269462.4,3624277.58,2090374.01,225116.85,748468.12,2134710.63,479846.9872,5645065.7099,1304732.63,8265716.0463000005,4582356.0885,260592.40999999997,10977938.4187,1345005.27,979234.19,3569295.7297,66418.25,277508.9599,1862345.56,233877.19999999998,2710654.09,28315818.6,1469565.0999999999,64503.72,3705452.7598,3576899.09,692193.4,1972944.0299999998,158408.66,Apr 23
6,2023/05,4171830.29,207343.1,2847096.73,956659.08,10929885.33,3881190.27,848083.6893,258677.20990000002,114561.27,11465293.821800001,8902088.7589,288774.32,446354.35,8040834.79,2333974.94,1607688.49,672509.77,1649333.94,1757135.39,243509.2499,1676847.4999,1718854.2599,3111099.28,2591084.08,2793249.13,1583236.56,186145.84,570686.54,1642758.75,386252.0584,4350244.0798,1043109.32,6574819.0782,3601004.6081,201501.26,7843819.4791,1081449.8900000001,748546.99,2713022.2998,51024.71,232651.8398,1484291.05,199194.75,2112871.97,22672516.58,1152647.39,48608.13,2901932.2095,3125367.84,575901.83,1557036.08,130217.18,May 23
7,2023/06,4066380.47,223115.86,2717454.6599999997,950738.33,10831184.98,3726191.1599999997,832155.2396999999,234609.65,118744.84,11590465.2368,8592643.0498,294030.98,452512.1,8302156.34,2304158.89,1640011.72,656113.37,1653999.24,1609989.84,238587.84,1685005.7399,1693143.1598999999,3061503.8,2718172.73,2831871.21,1600741.06,189771.5,546123.23,1548085.15,378819.3293,4288468.7099,998643.95,6459133.1588,3334506.029,199267.81,7746481.1495,1039904.08,755993.71,2737285.3192,56846.920000000006,232901.62,1322534.29,196580.49,2059193.65,23089553.95,1104577.7,58827.29,2810058.5597,3549294.14,529295.86,1631992.8699999999,127394.53,Jun 23
8,2023/07,4981279.12,259023.12,3506944.1199999996,1209470.88,13719448.309999999,5139801.569999999,1025762.7799,301876.84,127262.67,13429361.83,10798337.35,344080.16,582293.17,10184976.83,2854925.82,2302601.39,765932.7999999999,2013178.79,1942363.08,300929.58999999997,1976461.25,2060415.73,3603228.3499999996,3314851.55,3357233.67,1927288.99,238767.52,672397.17,2022251.94,473685.35,5331503.29,1338321.7999999998,7688842.8597,3893483.0300000003,243745.75,10390031.53,1308468.39,939693.5,3269398.57,58756.88,282358.26,1601778.6300000001,240112.77000000002,2553482.79,32018552.580000002,1401469.02,69650.4,3495383.9299999997,4543961.63,605760.79,1982459.89,175111.53999999998,Jul 23
9,2023/08,4333622.64,208181.33,2813336.61,941118.79,10711006.01,4076597.71,793090.36,240186.99,108462.0,11672990.97,9094863.14,382889.79,450569.99,8309023.41,2296652.4699999997,1749410.93,621549.14,1614177.39,1556069.66,227946.22,1582029.92,1623579.4199,2853605.4499999997,2700026.9099999997,3014669.33,1479326.99,188658.72,517993.54,1588085.6199999999,375796.61,4242815.1799,1029322.02,6182944.0095999995,3196745.31,190481.61,7841144.53,1006985.39,715433.73,2488546.27,37257.84,226260.99,1310998.68,186846.36000000002,2014732.21,24686685.86,1065861.9,50092.66,2811313.4299999997,4567718.11,512331.89,1515294.6199999999,141822.41,Aug 23
10,2023/09,4401577.98,207999.6,2732795.26,949278.39,10711351.93,3768276.9899999998,773270.0299999999,224623.79,100960.65999999999,10956513.76,9093083.48,246145.87,412959.01999999996,8092769.54,2683348.98,1576097.99,588037.9,1631232.68,1532571.8699999999,221353.88,1596169.3099999998,1565522.43,2847683.52,2572614.83,3074780.0,1474537.3699999999,159219.07,506660.05,1530078.93,370671.05,4318325.69,989354.58,6322620.2193,3112699.37,186945.69999999998,7268967.7599,1011564.41,702480.4,2409424.58,32856.08,220329.46,1235405.38,171041.55,1963469.41,21867754.28,1017120.46,44739.97,2767288.58,4327874.83,534623.9299999999,1517529.94,126648.18,Sep 23
11,2023/10,5228464.25,269794.01999999996,3586035.1399999997,1164798.17,13609615.209999999,5525752.71,942100.9899999999,243374.83,115236.08,13496979.3099,10979987.77,316527.13,534540.3,10027812.32,6614201.45,2456277.57,704276.7999999999,1944974.64,1872959.07,251205.39,1865836.8199999998,1904815.3699999999,3358148.4899999998,3140455.56,3566179.94,1792553.0,201976.69,624653.5,1981202.0499999998,447074.12,5061615.22,1280294.16,7602667.5098,3596721.4,241109.15,11046580.24,1290750.8499999999,908797.84,2956979.3899999997,30712.07,266988.15,1416803.8399999999,220325.39,2454180.04,34119973.07,1365818.4,61404.68,3424638.86,4790552.390000001,669636.9199999999,1880433.0099999998,167876.5,Oct 23
12,2023/11,4421653.48,203071.33,2776354.09,906550.34,11032531.469999999,4087340.42,733326.4199999999,192129.88,100950.57999999999,11049565.02,8721391.99,253905.84999999998,424292.85,7906028.97,5483737.63,1691770.56,597749.15,1518645.2,1464691.81,194423.5,1427875.81,1489133.1099999999,2655919.1199999996,2585799.35,2977527.96,1449770.97,155874.97,505606.22,1466795.14,351060.14,4031458.04,930475.6,6145890.6799,2673650.7,184961.88999999998,7664603.83,1049578.58,706759.2,2253362.7199999997,24555.81,209050.5,1067010.03,182574.47,1857595.55,23649959.490000002,1053125.0,50673.590000000004,2673903.0,3516830.67,453448.43,1481839.63,127058.31,Nov 23
