SKU,Sending plant,Sending Warehouse,Factory,Material document number,Booking Date,year,Reference,Receiving plant,Receiving Warehouse,Product Type,Number of PKT,Number of master,Number of pallet,Product Group,Month,week_of_year,Class,Cross Transfer Cost
2202334,4135,Langenhagen,3D_RAD,4900005079,02/01/23,2023,4032400846,4156,Krefeld,Blu,120.0,10.0,0.090909091,E-VAPOUR,1,1,CX,50.0
2193134,4156,Krefeld,3D_TCI,4900005119,02/01/23,2023,4032400847,4135,Langenhagen,Blu,120.0,10.0,0.0490196078431372,E-VAPOUR,1,1,,6.59
2193148,4156,Krefeld,3D_TCI,4900005119,02/01/23,2023,4032400847,4135,Langenhagen,Blu,120.0,10.0,0.0490196078431372,E-VAPOUR,1,1,,6.59
2198121,4135,Langenhagen,3D_TCI,4900006586,03/01/23,2023,4032400851,4164,Meerane,Blu,204.0,17.0,0.083333333,E-VAPOUR,1,1,CX,4.722222222222222
2198123,4135,Langenhagen,3D_TCI,4900006586,03/01/23,2023,4032400851,4164,Meerane,Blu,408.0,34.0,0.1666666666666666,E-VAPOUR,1,1,CX,9.444444444444445
2198125,4135,Langenhagen,3D_TCI,4900006586,03/01/23,2023,4032400851,4164,Meerane,Blu,408.0,34.0,0.1666666666666666,E-VAPOUR,1,1,CX,9.444444444444445
2198128,4135,Langenhagen,3D_TCI,4900006586,03/01/23,2023,4032400851,4164,Meerane,Blu,120.0,10.0,0.0490196078431372,E-VAPOUR,1,1,CX,2.777777777777778
2198135,4135,Langenhagen,3D_TCI,4900006586,03/01/23,2023,4032400851,4164,Meerane,Blu,408.0,34.0,0.1666666666666666,E-VAPOUR,1,1,CX,9.444444444444445
2198136,4135,Langenhagen,3D_TCI,4900006586,03/01/23,2023,4032400851,4164,Meerane,Blu,204.0,17.0,0.083333333,E-VAPOUR,1,1,CX,4.722222222222222
2198137,4135,Langenhagen,3D_TCI,4900006586,03/01/23,2023,4032400851,4164,Meerane,Blu,408.0,34.0,0.1666666666666666,E-VAPOUR,1,1,CX,9.444444444444445
2191121,4156,Krefeld,3D_MAG,4900011852,03/01/23,2023,4032401797,4135,Langenhagen,Hülsen,200.0,20.0,1.0,others,1,1,CX,3.0360937500000005
2196700,4156,Krefeld,TAR,4900011852,03/01/23,2023,4032401797,4135,Langenhagen,Cigaretten,900.0,36.0,1.0,FMC_PrivateLabel,1,1,CY,3.0360937500000005
2196707,4156,Krefeld,TAR,4900011852,03/01/23,2023,4032401797,4135,Langenhagen,Cigaretten,3360.0,112.0,3.111111111111111,FMC_PrivateLabel,1,1,CY,9.445625000000003
2199736,4156,Krefeld,RAD,4900011852,03/01/23,2023,4032401797,4135,Langenhagen,MYO,240.0,40.0,2.0,FCT_A-Marke,1,1,CX,6.072187500000001
2196707,4177,Dreieich,TAR,4900011892,03/01/23,2023,4032401799,4164,Meerane,Cigaretten,3240.0,108.0,3.0000000000000004,FMC_PrivateLabel,1,1,CY,313.50000000000006
2204383,4177,Dreieich,TAR,4900011892,03/01/23,2023,4032401799,4164,Meerane,MYO,224.0,28.0,1.0,FCT_A-Marke,1,1,CX,104.5
2198117,4135,Langenhagen,3D_TCI,4900012739,04/01/23,2023,4032401800,4177,Dreieich,Blu,612.0,51.0,0.25,E-VAPOUR,1,1,CX,15.000000000000002
2198120,4135,Langenhagen,3D_TCI,4900012739,04/01/23,2023,4032401800,4177,Dreieich,Blu,204.0,17.0,0.083333333,E-VAPOUR,1,1,CX,5.0
2198121,4135,Langenhagen,3D_TCI,4900012739,04/01/23,2023,4032401800,4177,Dreieich,Blu,204.0,17.0,0.083333333,E-VAPOUR,1,1,CX,5.0
2198127,4135,Langenhagen,3D_TCI,4900012739,04/01/23,2023,4032401800,4177,Dreieich,Blu,204.0,17.0,0.083333333,E-VAPOUR,1,1,CX,5.0
2198135,4135,Langenhagen,3D_TCI,4900012739,04/01/23,2023,4032401800,4177,Dreieich,Blu,408.0,34.0,0.1666666666666666,E-VAPOUR,1,1,CX,10.0
2198137,4135,Langenhagen,3D_TCI,4900012739,04/01/23,2023,4032401800,4177,Dreieich,Blu,408.0,34.0,0.1666666666666666,E-VAPOUR,1,1,CX,10.0
2204545,4135,Langenhagen,RAD,4900020296,04/01/23,2023,4032403387,4156,Krefeld,Cigaretten,900.0,30.0,1.0,FMC_A-Marke,1,1,CX,293.91
